in s,M1 in V
-6.00000E-02,-1.201202E+01
-5.99952E-02,-1.202164E+01
-5.99904E-02,-1.202271E+01
-5.99856E-02,-1.201950E+01
-5.99808E-02,-1.202805E+01
-5.99760E-02,-1.203445E+01
-5.99712E-02,-1.202591E+01
-5.99664E-02,-1.203018E+01
-5.99616E-02,-1.202911E+01
-5.99568E-02,-1.203232E+01
-5.99520E-02,-1.202484E+01
-5.99472E-02,-1.202484E+01
-5.99424E-02,-1.203232E+01
-5.99376E-02,-1.203659E+01
-5.99328E-02,-1.204727E+01
-5.99280E-02,-1.204727E+01
-5.99232E-02,-1.204514E+01
-5.99184E-02,-1.205902E+01
-5.99136E-02,-1.206970E+01
-5.99088E-02,-1.207504E+01
-5.99040E-02,-1.207825E+01
-5.98992E-02,-1.208252E+01
-5.98944E-02,-1.207932E+01
-5.98896E-02,-1.208893E+01
-5.98848E-02,-1.208466E+01
-5.98800E-02,-1.207504E+01
-5.98752E-02,-1.208572E+01
-5.98704E-02,-1.209427E+01
-5.98656E-02,-1.209213E+01
-5.98608E-02,-1.209213E+01
-5.98560E-02,-1.210602E+01
-5.98512E-02,-1.210709E+01
-5.98464E-02,-1.210709E+01
-5.98416E-02,-1.211029E+01
-5.98368E-02,-1.210922E+01
-5.98320E-02,-1.210922E+01
-5.98272E-02,-1.211990E+01
-5.98224E-02,-1.211029E+01
-5.98176E-02,-1.211029E+01
-5.98128E-02,-1.211670E+01
-5.98080E-02,-1.212524E+01
-5.98032E-02,-1.211990E+01
-5.97984E-02,-1.212845E+01
-5.97936E-02,-1.214661E+01
-5.97888E-02,-1.213806E+01
-5.97840E-02,-1.213058E+01
-5.97792E-02,-1.214127E+01
-5.97744E-02,-1.214020E+01
-5.97696E-02,-1.213699E+01
-5.97648E-02,-1.214661E+01
-5.97600E-02,-1.214447E+01
-5.97552E-02,-1.213379E+01
-5.97504E-02,-1.213913E+01
-5.97456E-02,-1.213806E+01
-5.97408E-02,-1.213593E+01
-5.97360E-02,-1.213699E+01
-5.97312E-02,-1.214554E+01
-5.97264E-02,-1.215088E+01
-5.97216E-02,-1.214661E+01
-5.97168E-02,-1.215088E+01
-5.97120E-02,-1.216156E+01
-5.97072E-02,-1.215729E+01
-5.97024E-02,-1.216156E+01
-5.96976E-02,-1.216690E+01
-5.96928E-02,-1.216370E+01
-5.96880E-02,-1.216690E+01
-5.96832E-02,-1.216690E+01
-5.96784E-02,-1.216690E+01
-5.96736E-02,-1.217117E+01
-5.96688E-02,-1.217758E+01
-5.96640E-02,-1.218185E+01
-5.96592E-02,-1.218613E+01
-5.96544E-02,-1.219574E+01
-5.96496E-02,-1.217865E+01
-5.96448E-02,-1.218399E+01
-5.96400E-02,-1.219147E+01
-5.96352E-02,-1.219040E+01
-5.96304E-02,-1.219040E+01
-5.96256E-02,-1.218933E+01
-5.96208E-02,-1.218719E+01
-5.96160E-02,-1.218933E+01
-5.96112E-02,-1.218719E+01
-5.96064E-02,-1.219147E+01
-5.96016E-02,-1.219574E+01
-5.95968E-02,-1.219040E+01
-5.95920E-02,-1.219360E+01
-5.95872E-02,-1.219147E+01
-5.95824E-02,-1.219360E+01
-5.95776E-02,-1.220001E+01
-5.95728E-02,-1.220215E+01
-5.95680E-02,-1.219360E+01
-5.95632E-02,-1.219681E+01
-5.95584E-02,-1.219788E+01
-5.95536E-02,-1.219467E+01
-5.95488E-02,-1.220642E+01
-5.95440E-02,-1.220642E+01
-5.95392E-02,-1.219681E+01
-5.95344E-02,-1.220108E+01
-5.95296E-02,-1.220963E+01
-5.95248E-02,-1.221283E+01
-5.95200E-02,-1.222137E+01
-5.95152E-02,-1.221710E+01
-5.95104E-02,-1.221176E+01
-5.95056E-02,-1.220108E+01
-5.95008E-02,-1.221283E+01
-5.94960E-02,-1.222137E+01
-5.94912E-02,-1.221924E+01
-5.94864E-02,-1.221817E+01
-5.94816E-02,-1.222031E+01
-5.94768E-02,-1.222244E+01
-5.94720E-02,-1.221710E+01
-5.94672E-02,-1.221924E+01
-5.94624E-02,-1.222031E+01
-5.94576E-02,-1.222137E+01
-5.94528E-02,-1.222885E+01
-5.94480E-02,-1.223099E+01
-5.94432E-02,-1.222885E+01
-5.94384E-02,-1.223419E+01
-5.94336E-02,-1.224060E+01
-5.94288E-02,-1.223099E+01
-5.94240E-02,-1.222885E+01
-5.94192E-02,-1.223099E+01
-5.94144E-02,-1.222244E+01
-5.94096E-02,-1.222137E+01
-5.94048E-02,-1.222885E+01
-5.94000E-02,-1.222458E+01
-5.93952E-02,-1.221497E+01
-5.93904E-02,-1.223206E+01
-5.93856E-02,-1.223099E+01
-5.93808E-02,-1.223526E+01
-5.93760E-02,-1.224274E+01
-5.93712E-02,-1.224701E+01
-5.93664E-02,-1.223740E+01
-5.93616E-02,-1.223419E+01
-5.93568E-02,-1.223953E+01
-5.93520E-02,-1.223206E+01
-5.93472E-02,-1.223419E+01
-5.93424E-02,-1.225128E+01
-5.93376E-02,-1.224808E+01
-5.93328E-02,-1.224060E+01
-5.93280E-02,-1.225021E+01
-5.93232E-02,-1.224808E+01
-5.93184E-02,-1.224701E+01
-5.93136E-02,-1.225769E+01
-5.93088E-02,-1.225021E+01
-5.93040E-02,-1.225235E+01
-5.92992E-02,-1.226089E+01
-5.92944E-02,-1.226196E+01
-5.92896E-02,-1.225021E+01
-5.92848E-02,-1.225555E+01
-5.92800E-02,-1.226410E+01
-5.92752E-02,-1.225021E+01
-5.92704E-02,-1.225342E+01
-5.92656E-02,-1.225983E+01
-5.92608E-02,-1.224808E+01
-5.92560E-02,-1.225021E+01
-5.92512E-02,-1.224915E+01
-5.92464E-02,-1.225235E+01
-5.92416E-02,-1.225128E+01
-5.92368E-02,-1.225555E+01
-5.92320E-02,-1.225555E+01
-5.92272E-02,-1.225449E+01
-5.92224E-02,-1.224380E+01
-5.92176E-02,-1.225555E+01
-5.92128E-02,-1.224915E+01
-5.92080E-02,-1.224487E+01
-5.92032E-02,-1.225342E+01
-5.91984E-02,-1.225021E+01
-5.91936E-02,-1.224274E+01
-5.91888E-02,-1.225662E+01
-5.91840E-02,-1.224915E+01
-5.91792E-02,-1.224380E+01
